GEO_ID|B19013_E001|B19013_M001
04000C2US38|96564|2473
04000C2US39|77518|413
04000C2US40|71597|599
04000C2US41|83737|827
04000C2US42|83108|374
04000C2US44|86245|1430
04000C2US45|67796|541
04000C2US46|85153|1824
04000C2US47|75860|451
04000C2US48|86824|449
04000C2US49|96128|793
04000C2US50|91106|2150
04000C2US51|102513|561
04000C2US53|100223|774
04000C2US54|61646|890
04000C2US55|85742|618
04000C2US56|79223|5870
04000C2US72|23734|271
04000E0US01|51254|995
04000E0US02|91579|4384
04000E0US04|53447|1548
04000E0US05|49346|905
04000E0US06|62985|1450
04000E0US08|77740|1749
04000E0US09|89394|1978
04000E0US12|54830|1618
04000E0US13|53047|779
04000E0US15|77628|2487
04000E0US16|63959|1519
04000E0US17|62562|638
04000E0US18|62132|753
04000E0US19|63758|996
04000E0US20|58445|1070
04000E0US21|53006|825
04000E0US22|45940|904
04000E0US23|62118|1971
04000E0US24|69180|3533
04000E0US25|93225|8589
04000E0US26|62652|622
04000E0US27|69036|740
04000E0US28|47540|848
04000E0US29|53976|837
04000E0US30|72128|1402
04000E0US31|64791|1037
04000E0US32|72428|2047
04000E0US33|79330|1524
04000E0US35|54510|1337
04000E0US36|62257|676
04000E0US37|53520|619
04000E0US38|77072|1985
04000E0US39|61157|512
04000E0US40|54758|745
04000E0US41|61096|931
04000E0US42|59291|628
04000E0US45|48969|1088
04000E0US46|66728|1460
04000E0US47|54317|811
04000E0US48|57028|606
04000E0US49|79053|1991
04000E0US50|69917|1308
04000E0US51|46058|1097
04000E0US53|67728|852
04000E0US54|52206|1409
04000E0US55|69523|781
04000E0US56|75222|1931
04000E0US72|20599|1048
04000E1US01|46416|1301
04000E1US02|90600|4741
04000E1US04|54523|3436
04000E1US05|44811|1749
04000E1US06|53751|2442
04000E1US08|66858|1784
04000E1US09|66616|5308
04000E1US12|52083|3280
04000E1US13|42650|1573
04000E1US15|77493|4965
04000E1US16|54636|1873
04000E1US17|49831|1049
04000E1US18|50330|894
04000E1US19|57031|1358
04000E1US20|55738|1017
04000E1US21|46795|830
04000E1US22|38446|2636
04000E1US23|45107|2814
04000E1US24|58773|4689
04000E1US25|65313|17845
04000E1US26|47908|1612
04000E1US27|58839|1101
04000E1US28|39691|1421
04000E1US29|47065|1411
04000E1US30|64176|1995
04000E1US31|59878|1311
04000E1US32|68013|1959
04000E1US33|73453|3346
04000E1US35|55027|1592
04000E1US36|49545|1632
04000E1US37|47692|1285
04000E1US38|71623|3183
04000E1US39|50534|870
04000E1US40|49586|1029
04000E1US41|58121|1958
04000E1US42|46715|1501
04000E1US45|39604|1735
04000E1US46|59114|1454
04000E1US47|46823|1341
04000E1US48|50208|945
04000E1US49|62649|2973
04000E1US50|52402|5228
04000E1US51|42147|2501
04000E1US53|56743|1624
04000E1US54|47186|1839
04000E1US55|58060|1273
04000E1US56|69012|2563
04000E1US72|15404|1494
04000E2US01|53301|1036
04000E2US02|100536|5354
04000E2US04|53175|1713
04000E2US05|52980|1117
04000E2US06|67285|1703
04000E2US08|83191|1953
04000E2US09|97485|2985
04000E2US12|55487|1545
04000E2US13|58040|960
04000E2US15|77666|2736
04000E2US16|69410|1469
04000E2US17|69571|760
04000E2US18|70559|1036
04000E2US19|73031|1316
04000E2US20|64269|1620
04000E2US21|55884|863
04000E2US22|48635|1549
04000E2US23|70548|2182
04000E2US24|76679|3541
04000E2US25|96390|8912
04000E2US26|66870|709
04000E2US27|76911|852
04000E2US28|52826|1373
04000E2US29|58071|1107
04000E2US30|79881|2155
04000E2US31|73230|1547
04000E2US32|77630|2048
04000E2US33|81455|1410
04000E2US35|53802|2269
04000E2US36|67319|786
04000E2US37|55699|644
04000E2US38|89009|2270
04000E2US39|66702|660
04000E2US40|59542|962
04000E2US41|62355|1221
04000E2US42|61969|744
04000E2US45|52105|1370
04000E2US46|80854|1707
04000E2US47|57669|1016
04000E2US48|63417|1105
04000E2US49|86940|3172
04000E2US50|73111|1558
04000E2US51|47515|1485
04000E2US53|72315|1426
04000E2US54|53560|1863
04000E2US55|74491|879
04000E2US56|84473|2765
04000E2US72|21991|1064
04000G0US01|45224|970
04000G0US02|74360|2033
04000G0US04|44017|2529
04000G0US05|46424|729
04000G0US06|64529|1461
04000G0US08|58666|1005
04000G0US12|48004|1213
04000G0US13|51894|973
04000G0US15|87813|11404
04000G0US16|55849|1484
04000G0US17|59759|809
04000G0US18|62457|1011
04000G0US19|65668|578
04000G0US20|58818|714
04000G0US21|47078|696
04000G0US22|40956|1203
04000G0US23|58501|831
04000G0US24|66520|2988
04000G0US25|135590|17386
04000G0US26|58170|461
04000G0US27|66793|624
04000G0US28|43901|1170
04000G0US29|51627|692
04000G0US30|58332|1125
04000G0US31|62863|840
04000G0US32|69415|3445
04000G0US33|77049|4354
04000G0US35|41167|2924
04000G0US36|64073|1307
04000G0US37|48819|836
04000G0US38|69955|1214
04000G0US39|60799|1024
04000G0US40|51336|606
04000G0US41|58999|2091
04000G0US42|59691|801
04000G0US45|43610|1020
04000G0US46|60630|1103
04000G0US47|49118|860
04000G0US48|58203|575
04000G0US49|65698|1765
04000G0US50|68386|1656
04000G0US51|57320|881
04000G0US53|63186|1542
04000G0US54|45878|894
04000G0US55|63820|561
04000G0US56|68087|2248
04000G0US72|18414|2044
04000H0US01|48969|667
04000H0US02|78521|1401
04000H0US04|50724|1205
04000H0US05|48000|696
04000H0US06|63555|960
04000H0US08|68271|885
04000H0US09|89394|1978
04000H0US12|51344|1108
04000H0US13|52557|636
04000H0US15|77639|2485
04000H0US16|61223|999
04000H0US17|61368|525
04000H0US18|62221|648
04000H0US19|64910|488
04000H0US20|58618|704
04000H0US21|50058|526
04000H0US22|44216|993
04000H0US23|59215|805
04000H0US24|67818|1605
04000H0US25|104940|10453
04000H0US26|60462|405
04000H0US27|68084|482
04000H0US28|46296|638
04000H0US29|52700|546
04000H0US30|65015|848
04000H0US31|63834|575
04000H0US32|71926|1686
04000H0US33|79035|1361
04000H0US35|52982|1173
04000H0US36|62739|570
04000H0US37|52062|521
04000H0US38|73457|1464
04000H0US39|61091|454
04000H0US40|53175|513
04000H0US41|60790|874
04000H0US42|59392|512
04000H0US45|46661|670
04000H0US46|63775|953
04000H0US47|52275|579
04000H0US48|57561|414
04000H0US49|72333|1411
04000H0US50|69365|1014
04000H0US51|54188|737
04000H0US53|66551|853
04000H0US54|48784|852
